pid,majorcat,province,area,sex,age,a003,a010,a038,a039,a043,a045,a046,a048,a392,a116,a117,a140,a141,a144,a146,a158,a159,a160,a161,a162,d016,d020,d041,d042,d046,d048,d049,d051,d254,d106,d107,d130,d131,d134,d136,d144,d145,d146,d147,d148,f073,f074,h001,q001,q015,q016,q017,p001,year,Resign,First_Work,Admission,Graduation,Cur,Cur_Work_date,Start_Work1_date,End_Work1_date,Work_to_Cur,Start_to_End,ck
100166,1,2,8,2,22.5,,,,,,,,,,,,,,,,,,,,,3,1,1,1,1,1,1,1,1,5,6,5,5,3,3,1,3,1,1,1,2,3.2,1,3,3,5,5,1,2018,1,2,2016-03-01,2018-02-28,2018-09-01,,2018-03-01,2018-10-01,,7,0
100191,1,4,7,2,26.916666667,,,,,,,,,,,,,,,,,,,,,6,7,1,2,2,2,2,2,2,5,40,3,3,3,4,2,2,2,2,2,3,4.3,2,4,4,6,6,1,2018,1,2,2014-03-01,2018-02-28,2018-09-01,,2017-11-01,2018-05-01,,6,0
100212,1,2,8,2,24.666666667,,,,,,,,,,,,,,,,,,,,,-1,8,3,2,2,3,1,2,2,6,40,3,3,1,1,3,3,3,3,3,2,3.1,1,3,4,4,4,1,2018,1,2,2013-03-01,2017-08-31,2018-09-01,,2018-01-01,2018-08-01,,7,0
100221,1,2,8,2,25.25,,,,,,,,,,,,,,,,,,,,,1,5,2,2,2,1,2,2,2,5,25,3,3,1,3,2,2,2,2,2,3,3,1,4,5,5,5,1,2018,1,2,2013-03-01,2018-02-28,2018-09-01,,2018-07-01,2018-11-01,,4,0
100278,1,2,8,2,22.666666667,,,,,,,,,,,,,,,,,,,,,-1,1,3,3,3,3,3,3,3,5,40,4,5,4,4,1,3,1,1,1,3,2.9,1,3,6,7,5,1,2018,1,2,2015-03-01,2018-02-28,2018-09-01,,2018-10-01,2018-11-01,,1,0
100296,1,4,15,2,23.333333333,,,,,,,,,,,,,,,,,,,,,-1,15,1,1,3,1,2,1,3,5,40,4,4,1,2,1,3,1,1,1,3,3,1,4,7,7,6,1,2018,1,2,2015-03-01,2018-02-28,2018-09-01,,2018-05-01,2019-05-01,,12,0
100464,2,2,8,1,27.75,2,9,1,1,3,1,1,1,3,5,40,4,4,3,4,2,1,1,2,1,,,,,,,,,,,,,,,,,,,,,3,3,2,5,6,6,6,1,2018,0,1,2016-03-01,2018-02-28,2018-09-01,2014-03-01,,,54,,0
100486,2,2,8,2,23.75,,,,,,,,,,,,,,,,,,,,,-1,1,1,1,3,1,1,3,1,5,40,4,4,4,4,1,3,1,1,1,3,3.4,2,4,4,5,5,1,2018,1,2,2015-03-01,2018-02-28,2018-09-01,,2018-03-01,2019-03-01,,12,0
100710,2,1,1,2,22.166666667,,,,,,,,,,,,,,,,,,,,,-1,8,3,3,3,3,3,3,3,4,35,3,3,1,2,3,3,3,3,3,3,3.4,2,3,3,4,4,1,2018,1,2,2016-03-01,2018-02-28,2018-09-01,,2018-04-01,2019-01-01,,9,0
100717,2,1,1,2,21.916666667,,,,,,,,,,,,,,,,,,,,,-1,1,1,1,2,2,1,1,1,5,40,4,3,3,5,1,3,1,1,1,2,3,1,4,7,7,7,1,2018,1,2,2016-03-01,2018-02-28,2018-09-01,,2017-12-01,2019-03-01,,15,0
